TransectID,veg_type,rate_m_yr,group
67,Degraded Vegetation,-0.723684787993749,Degraded Vegetation
68,Degraded Vegetation,-0.2785796594332743,Degraded Vegetation
69,Built-up,-1.218375763120926,Built-up
70,Built-up,-1.2190382837570783,Built-up
71,Built-up,-1.2801780024741474,Built-up
72,Degraded Vegetation,-1.1998662846027492,Degraded Vegetation
73,Degraded Vegetation,-1.7151420722849622,Degraded Vegetation
74,Built-up,-0.8807918733971881,Built-up
75,Degraded Vegetation,-0.7172596650864836,Degraded Vegetation
76,Built-up,-1.5925677446984867,Built-up
78,Built-up,-1.075212945397173,Built-up
79,Built-up,-0.4942255652097944,Built-up
80,Built-up,-0.5758884358339673,Built-up
81,Built-up,-2.719814433147994,Built-up
82,Built-up,-2.6843186861558537,Built-up
83,Built-up,-1.8544947281071968,Built-up
84,Degraded Vegetation,-1.73487056848698,Degraded Vegetation
85,Degraded Vegetation,-0.6139007135030615,Degraded Vegetation
86,Degraded Vegetation,-0.7671933804943524,Degraded Vegetation
87,Degraded Vegetation,-1.0289697969607452,Degraded Vegetation
88,Degraded Vegetation,-0.6805459870329562,Degraded Vegetation
90,Built-up,-0.91596017328654,Built-up
91,Degraded Vegetation,-0.0661140552926916,Degraded Vegetation
92,Built-up,-0.5515653533669278,Built-up
93,Built-up,-0.2467714828932547,Built-up
94,Built-up,-0.3167445552678534,Built-up
95,Built-up,-0.4907080193695665,Built-up
96,Built-up,-0.6537101750206233,Built-up
97,Built-up,-0.094563209644557,Built-up
98,Built-up,-0.5987258293665527,Built-up
99,Built-up,0.3020618993569286,Built-up
100,Built-up,-1.7412576952022991,Built-up
101,Built-up,-1.4273717572742797,Built-up
103,Built-up,-3.1997584473211167,Built-up
104,Built-up,-0.019030900244728,Built-up
105,Built-up,-0.2720059185458819,Built-up
107,Degraded Vegetation,-0.307724339794545,Degraded Vegetation
108,Degraded Vegetation,-0.1764287511211742,Degraded Vegetation
109,Degraded Vegetation,0.1127220985996872,Degraded Vegetation
110,Degraded Vegetation,-0.049194750935145,Degraded Vegetation
111,Degraded Vegetation,-0.3589176665685785,Degraded Vegetation
112,Degraded Vegetation,-0.4481023446157378,Degraded Vegetation
114,Healthy Vegetation,-0.3541139627809265,Healthy Vegetation
116,Degraded Vegetation,0.0386744839513327,Degraded Vegetation
117,Built-up,-0.3637774075433098,Built-up
118,Built-up,-0.193530465315196,Built-up
119,Degraded Vegetation,-0.4297133479842013,Degraded Vegetation
120,Degraded Vegetation,-0.5726555222749942,Degraded Vegetation
121,Built-up,-0.5531240095488212,Built-up
122,Degraded Vegetation,-0.5714479666705656,Degraded Vegetation
123,Built-up,-0.568426527031415,Built-up
124,Degraded Vegetation,-0.2960484504944582,Degraded Vegetation
125,Degraded Vegetation,-0.5913897609502641,Degraded Vegetation
126,Degraded Vegetation,-0.6301021420587518,Degraded Vegetation
127,Degraded Vegetation,-0.470882254902428,Degraded Vegetation
128,Built-up,-1.249830006815941,Built-up
130,Built-up,-3.1479915312462063,Built-up
131,Built-up,-0.5504626858726946,Built-up
132,Built-up,-0.1687848392164395,Built-up
133,Built-up,-0.4435887487033592,Built-up
134,Degraded Vegetation,-0.3648646134487339,Degraded Vegetation
135,Degraded Vegetation,-0.452528835775915,Degraded Vegetation
136,Degraded Vegetation,-0.5523724390051332,Degraded Vegetation
137,Degraded Vegetation,-0.4459275612837177,Degraded Vegetation
138,Degraded Vegetation,-0.6538407899413,Degraded Vegetation
139,Built-up,-0.3856004690759084,Built-up
140,Built-up,-0.2174091217927125,Built-up
141,Degraded Vegetation,-0.1820036616670896,Degraded Vegetation
142,Degraded Vegetation,-0.1834210073870058,Degraded Vegetation
144,Built-up,-0.6730400851636187,Built-up
145,Built-up,-0.974023618333514,Built-up
146,Built-up,-0.6099700832805613,Built-up
147,Healthy Vegetation,-0.568754110889109,Healthy Vegetation
148,Healthy Vegetation,-0.4744980526041239,Healthy Vegetation
149,Degraded Vegetation,-0.589890569660495,Degraded Vegetation
150,Healthy Vegetation,-0.3671899107852812,Healthy Vegetation
151,Healthy Vegetation,-0.6883906525476395,Healthy Vegetation
152,Healthy Vegetation,-1.252620873530332,Healthy Vegetation
153,Healthy Vegetation,-1.5540192340774586,Healthy Vegetation
154,Degraded Vegetation,-1.6997766900259943,Degraded Vegetation
155,Healthy Vegetation,-1.4387330464872072,Healthy Vegetation
156,Healthy Vegetation,-1.547252788362862,Healthy Vegetation
157,Healthy Vegetation,-1.3382558774457318,Healthy Vegetation
